DepComN,NomCN,DepComA,NomCA,annee
27541,Le Mesnil-Saint-Jean,27551,Saint-Jean-de-la-Léqueraye ,2018
27685,La Vieille-Lyre ,27685,La Vieille-Lyre ,2018
27685,La Vieille-Lyre ,27143,Champignolles  ,2018
28018,Authon-du-Perche,28018,Authon-du-Perche,2018
28018,Authon-du-Perche,28376,Soizé,2018
28199,Janville-en-Beauce,28199,Janville  ,2018
28199,Janville-en-Beauce,28002,Allaines-Mervilliers ,2018
28199,Janville-en-Beauce,28311,Le Puiset ,2018
28236,Arcisses,28236,Margon  ,2018
28236,Arcisses,28063,Brunelles,2018
28236,Arcisses,28112,Coudreceau ,2018
28331,Saintigny,28331,Saint-Denis-d'Authou ,2018
28331,Saintigny,28165,Frétigny  ,2018
28334,Saint-Denis-Lanneray,28334,Saint-Denis-les-Ponts ,2018
28334,Saint-Denis-Lanneray,28205,Lanneray ,2018
28406,Éole-en-Beauce,28406,Eole-en-Beauce,2018
28406,Éole-en-Beauce,28412,Villeau  ,2018
29199,Plouigneau ,29199,Plouigneau ,2018
29199,Plouigneau ,29219,Le Ponthou ,2018
29227,Poullaouen ,29227,Poullaouen ,2018
29227,Poullaouen ,29129,Locmaria-Berrien  ,2018
30052,Bréau-Mars,30052,Bréau-et-Salagosse ,2018
30052,Bréau-Mars,30157,Mars,2018
30339,Val-d’Aigoual,30339,Valleraugue,2018
30339,Val-d’Aigoual,30190,Notre-Dame-de-la-Rouvière ,2018
31471,Saint-Béat-Lez,31471,Saint-Béat,2018
31471,Saint-Béat-Lez,31298,Lez,2018
32344,Riscle ,32344,Riscle ,2018
32344,Riscle ,32074,Cannet  ,2018
33008,Porte-de-Benauge,33008,Arbis,2018
33008,Porte-de-Benauge,33092,Cantois ,2018
33055,Blaignan-Prignac,33055,Blaignan,2018
33055,Blaignan-Prignac,33338,Prignac-en-Médoc ,2018
33380,Val-de-Livenne,33380,Saint-Caprais-de-Blaye  ,2018
33380,Val-de-Livenne,33267,Marcillac,2018
34246,Entre-Vignes,34246,Saint-Christol ,2018
34246,Entre-Vignes,34330,Vérargues  ,2018
35004,Val-Couesnon,35004,Antrain,2018
35004,Val-Couesnon,35113,La Fontenelle,2018
35004,Val-Couesnon,35303,Saint-Ouen-la-Rouërie ,2018
35004,Val-Couesnon,35341,Tremblay,2018
35163,Luitré-Dompierre ,35163,Luitré,2018
35163,Luitré-Dompierre ,35100,Dompierre-du-Chemin ,2018
35184,Montauban-de-Bretagne  ,35184,Montauban-de-Bretagne  ,2018
35184,Montauban-de-Bretagne  ,35301,Saint-M'Hervon ,2018
35220,Piré-Chancé,35220,Piré-sur-Seiche ,2018
35220,Piré-Chancé,35053,Chancé  ,2018
35282,Rives-du-Couesnon,35282,Saint-Jean-sur-Couesnon ,2018
35282,Rives-du-Couesnon,35269,Saint-Georges-de-Chesné ,2018
35282,Rives-du-Couesnon,35293,Saint-Marc-sur-Couesnon ,2018
35282,Rives-du-Couesnon,35348,Vendel ,2018
35292,Saint-Marc-le-Blanc ,35292,Saint-Marc-le-Blanc ,2018
35292,Saint-Marc-le-Blanc ,35011,Baillé ,2018
35308,Mesnil-Roc’h,35308,Saint-Pierre-de-Plesguen,2018
35308,Mesnil-Roc’h,35147,Lanhélin  ,2018
35308,Mesnil-Roc’h,35344,Tressé  ,2018
36093,Levroux,36093,Levroux,2018
36093,Levroux,36206,Saint-Pierre-de-Lamps,2018
36244,Villentrois-Faverolles-en-Berry ,36244,Villentrois,2018
36244,Villentrois-Faverolles-en-Berry ,36072,Faverolles-en-Berry ,2018
38073,Chantepérier,38073,Chantelouve ,2018
38073,Chantepérier,38302,Le Périer,2018
38163,Le Haut-Bréda,38163,La Ferrière ,2018
38163,Le Haut-Bréda,38306,Pinsot ,2018
38284,Ornacieux-Balbins ,38284,Ornacieux ,2018
38284,Ornacieux-Balbins ,38025,Balbins,2018
38395,Plateau-des-Petites-Roches ,38395,Saint-Hilaire ,2018
38395,Plateau-des-Petites-Roches ,38367,Saint-Bernard  ,2018
38395,Plateau-des-Petites-Roches ,38435,Saint-Pancrasse ,2018
38479,Porte-des-Bonnevaux,38479,Semons ,2018
38479,Porte-des-Bonnevaux,38016,Arzay ,2018
38479,Porte-des-Bonnevaux,38121,Commelle ,2018
38479,Porte-des-Bonnevaux,38274,Nantoin ,2018
38560,Val-de-Virieu,38560,Virieu,2018
38560,Val-de-Virieu,38293,Panissage,2018
39043,Beaufort-Orbagna ,39043,Beaufort ,2018
39043,Beaufort-Orbagna ,39395,Orbagna ,2018
39130,Nanchez,39130,Nanchez,2018
39130,Nanchez,39417,Les Piards,2018
39130,Nanchez,39562,Villard-sur-Bienne,2018
39137,Saint-Hymetière-sur-Valouse,39137,Chemilla  ,2018
39137,Saint-Hymetière-sur-Valouse,39089,Cézia ,2018
39137,Saint-Hymetière-sur-Valouse,39287,Lavans-sur-Valouse  ,2018
39137,Saint-Hymetière-sur-Valouse,39483,Saint-Hymetière ,2018
39190,Dampierre ,39190,Dampierre ,2018
39190,Dampierre ,39414,Le Petit-Mercey ,2018
39199,Domblans ,39199,Domblans ,2018
39199,Domblans ,39075,Bréry ,2018
39258,Grande-Rivière Château,39258,Grande-Rivière ,2018
39258,Grande-Rivière Château,39115,Château-des-Prés ,2018
39286,Lavans-lès-Saint-Claude ,39286,Lavans-lès-Saint-Claude ,2018
39286,Lavans-lès-Saint-Claude ,39440,Pratz ,2018
39339,Chassal-Molinges   ,39339,Molinges  ,2018
39339,Chassal-Molinges   ,39113,Chassal  ,2018
39378,Les Trois Châteaux ,39378,Les Trois Châteaux ,2018
39378,Les Trois Châteaux ,39484,Saint-Jean-d'Étreux ,2018
40197,Morcenx-la-Nouvelle,40197,Morcenx ,2018
40197,Morcenx-la-Nouvelle,40009,Arjuzanx ,2018
40197,Morcenx-la-Nouvelle,40107,Garrosse  ,2018
40197,Morcenx-la-Nouvelle,40302,Sindères  ,2018
41059,Le Controis-en-Sologne,41059,Contres ,2018
41059,Le Controis-en-Sologne,41082,Feings ,2018
41059,Le Controis-en-Sologne,41092,Fougères-sur-Bièvre ,2018
41059,Le Controis-en-Sologne,41170,Ouchamps ,2018
41059,Le Controis-en-Sologne,41257,Thenay ,2018
41070,Vallée-de-Ronsard,41070,Couture-sur-Loir ,2018
41070,Vallée-de-Ronsard,41263,Tréhet  ,2018
42245,Vêtre-sur-Anzon,42245,Saint-Julien-la-Vêtre  ,2018
42245,Vêtre-sur-Anzon,42291,Saint-Thurin ,2018
42268,Vézelin-sur-Loire,42268,Saint-Paul-de-Vézelin,2018
42268,Vézelin-sur-Loire,42004,Amions,2018
42268,Vézelin-sur-Loire,42082,Dancé,2018
44003,Ancenis-Saint-Géréon  ,44003,Ancenis ,2018
44003,Ancenis-Saint-Géréon  ,44160,Saint-Géréon ,2018
46033,Porte-du-Quercy,46033,Le Boulvé,2018
46033,Porte-du-Quercy,46099,Fargues,2018
46033,Porte-du-Quercy,46278,Saint-Matré,2018
46033,Porte-du-Quercy,46300,Saux,2018
46083,Cressensac-Sarrazac,46083,Cressensac,2018
46083,Cressensac-Sarrazac,46298,Sarrazac,2018
46232,Le Vignon-en-Quercy,46232,Les Quatre-Routes-du-Lot,2018
46232,Le Vignon-en-Quercy,46067,Cazillac  ,2018
46263,Barguelonne-en-Quercy,46263,Saint-Daunès,2018
46263,Barguelonne-en-Quercy,46014,Bagat-en-Quercy ,2018
46263,Barguelonne-en-Quercy,46285,Saint-Pantaléon,2018
48038,Bel-Air-Val-d’Ance,48038,Chambon-le-Château ,2018
48038,Bel-Air-Val-d’Ance,48184,Saint-Symphorien ,2018
48126,Lachamp-Ribennes ,48126,Ribennes ,2018
48126,Lachamp-Ribennes ,48078,Lachamp ,2018
48127,Monts-de-Randon,48127,Rieutort-de-Randon ,2018
48127,Monts-de-Randon,48057,Estables ,2018
48127,Monts-de-Randon,48133,Saint-Amans ,2018
48127,Monts-de-Randon,48189,Servières ,2018
48127,Monts-de-Randon,48197,La Villedieu ,2018
49060,Bellevigne-les-Châteaux,49060,Chacé,2018
49060,Bellevigne-les-Châteaux,49046,Brézé ,2018
49060,Bellevigne-les-Châteaux,49274,Saint-Cyr-en-Bourg ,2018
49080,Les Hauts-d'Anjou ,49080,Châteauneuf-sur-Sarthe ,2018
49080,Les Hauts-d'Anjou ,49065,Les Hauts d'Anjou ,2018
49174,Huillé-Lézigné,49174,Lézigné ,2018
49174,Huillé-Lézigné,49159,Huillé ,2018
49298,Saint-Léger-de-Linières,49298,Saint-Léger-des-Bois ,2018
49298,Saint-Léger-de-Linières,49289,Saint-Jean-de-Linières ,2018
49377,Rives-du-Loir-en-Anjou,49377,Villevêque ,2018
49377,Rives-du-Loir-en-Anjou,49337,Soucelles ,2018
50025,Avranches ,50025,Avranches ,2018
50025,Avranches ,50516,Saint-Martin-des-Champs ,2018
50099,Carentan-les-Marais ,50099,Carentan les Marais ,2018
50099,Carentan-les-Marais ,50089,Brucheville ,2018
50099,Carentan-les-Marais ,50107,Catz ,2018
50099,Carentan-les-Marais ,50348,Montmartin-en-Graignes ,2018
50099,Carentan-les-Marais ,50485,Saint-Hilaire-Petitville ,2018
50099,Carentan-les-Marais ,50636,Vierville ,2018
50197,Gavray-sur-Sienne,50197,Gavray  ,2018
50197,Gavray-sur-Sienne,50301,Le Mesnil-Amand ,2018
50197,Gavray-sur-Sienne,50320,Le Mesnil-Rogues  ,2018
50197,Gavray-sur-Sienne,50583,Sourdeval-les-Bois  ,2018
50215,Gouville-sur-Mer,50215,Gouville sur Mer ,2018
50215,Gouville-sur-Mer,50014,Anneville-sur-Mer  ,2018
50215,Gouville-sur-Mer,50354,Montsurvent ,2018
50215,Gouville-sur-Mer,50573,Servigny  ,2018
50412,Port-Bail-sur-Mer,50412,Portbail  ,2018
50412,Port-Bail-sur-Mer,50160,Denneville  ,2018
50412,Port-Bail-sur-Mer,50503,Saint-Lô-d'Ourville ,2018
50417,Quettehou  ,50417,Quettehou  ,2018
50417,Quettehou  ,50358,Morsalines  ,2018
50419,Quettreville-sur-Sienne ,50419,Quettreville-sur-Sienne ,2018
50419,Quettreville-sur-Sienne ,50140,Contrières,2018
50419,Quettreville-sur-Sienne ,50223,Guéhébert,2018
50419,Quettreville-sur-Sienne ,50244,Hérenguerville,2018
