id,codeCommune,libelleCommune,codeDepartement,libelleDepartement,actual,dateEffet,effet,mod,tmod,libelle,modification,etat,langue,typeProduit,rubrique,tncc,typeModification
5288027,01227,Magnieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Magnieu en lieu et place des communes de Magnieu (01227) et de Saint-Champ (01341) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288028,01341,Saint-Champ,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Saint-Champ devient commune déléguée au sein de Magnieu (01227) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288029,01413,Surjoux,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Surjoux devient commune déléguée au sein de Surjoux-Lhopital (01215) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288030,01414,Sutrieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Sutrieu devient commune déléguée au sein de Valromey-sur-Séran (01036) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288031,01417,Thézillieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Thézillieu devient commune déléguée au sein de Plateau d'Hauteville (01185) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288032,01442,Vieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Vieu devient commune déléguée au sein de Valromey-sur-Séran (01036) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288033,01453,Virieu-le-Petit,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Virieu-le-Petit devient commune déléguée (chef-lieu) au sein d'Arvière-en-Valromey (01453) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288034,01453,Arvière-en-Valromey,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,"Création de la commune nouvelle d'Arvière-en-Valromey en lieu et place des communes de Brénaz (01059), de Chavornay (01097), de Lochieu (01218) et de Virieu-le-Petit (01453) devenues déléguées.",Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5287795,01025,Bâgé-la-Ville,01,Ain,,2018-01-01T01:00:00.000Z,2018-01-01T00:00:00.000+00:00,,MG,Bâgé-la-Ville devient commune déléguée (chef-lieu) au sein de Bâgé-Dommartin (01025) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5287796,01025,Bâgé-Dommartin,01,Ain,,2018-01-01T01:00:00.000Z,2018-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Bâgé-Dommartin en lieu et place des communes de Bâgé-la-Ville (01025) et de Dommartin (01144) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5287797,01144,Dommartin,01,Ain,,2018-01-01T01:00:00.000Z,2018-01-01T00:00:00.000+00:00,,MG,Dommartin devient commune déléguée au sein de Bâgé-Dommartin (01025) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5284759,01054,Bourg-Saint-Christophe,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Bourg-Saint-Christophe passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284760,01080,Champdor-Corcelles,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Champdor-Corcelles passe de l'arrondissement de Nantua (014) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284761,01082,Chanay,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Chanay passe de l'arrondissement de Belley (011) à l'arrondissement de Nantua (014).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284762,01088,Charnoz-sur-Ain,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Charnoz-sur-Ain passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284763,01095,Chavannes-sur-Suran,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,MG,Chavannes-sur-Suran devient commune déléguée (chef-lieu) au sein de Nivigne et Suran (01095) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5284764,01095,Nivigne et Suran,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Nivigne et Suran en lieu et place des communes de Chavannes-sur-Suran (01095) et de Germagnat (01172) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5284765,01098,Chazey-Bons,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,MG,Chazey-Bons devient commune déléguée (chef-lieu) au sein de Chazey-Bons (01098) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5284766,01098,Chazey-Bons,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Chazey-Bons en lieu et place des communes de Chazey-Bons (01098) et de Pugieu (01316) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5284767,01114,Confort,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Confort passe de l'arrondissement de Gex (013) à l'arrondissement de Nantua (014).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284768,01156,Faramans,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Faramans passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284769,01172,Germagnat,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,MG,Germagnat devient commune déléguée au sein de Nivigne et Suran (01095) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5284770,01198,Joyeux,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Joyeux passe de l'arrondissement de Bourg-en-Bresse (012) à l'arrondissement de Belley (011).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
5284771,01205,Lancrans,01,Ain,,2017-01-01T01:00:00.000Z,2017-01-01T00:00:00.000+00:00,,ME,Lancrans passe de l'arrondissement de Gex (013) à l'arrondissement de Nantua (014).,"Tous les changements de région, département / d'arrondissement",,FR,communeHistorique,metadonnees,,ME
