loc_id,old_villeId,new_villeId,old_NCCENR,new_NCCENR
601,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
606,33443.0,37528,Luzarches,Luzarches
610,33514.0,37599,Valmondois,Valmondois
615,33401.0,37487,Ecouen,Écouen
621,33363.0,37449,Belloy-en-France,Belloy-en-France
624,33443.0,37528,Luzarches,Luzarches
626,33401.0,37487,Ecouen,Écouen
628,33443.0,37528,Luzarches,Luzarches
631,29387.0,33025,Conflans-Sainte-Honorine,Conflans-Sainte-Honorine
641,33449.0,37534,Marly-la-Ville,Marly-la-Ville
646,29387.0,33025,Conflans-Sainte-Honorine,Conflans-Sainte-Honorine
647,29387.0,33025,Conflans-Sainte-Honorine,Conflans-Sainte-Honorine
648,29387.0,33025,Conflans-Sainte-Honorine,Conflans-Sainte-Honorine
651,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
654,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
655,33443.0,37528,Luzarches,Luzarches
657,33519.0,37604,Viarmes,Viarmes
659,33497.0,37582,Saint-Martin-du-Tertre,Saint-Martin-du-Tertre
669,21923.0,24778,Mesnil-en-Thelle,Mesnil-en-Thelle
672,33442.0,37527,Louvres,Louvres
675,21876.0,24728,Lamorlaye,Lamorlaye
676,21876.0,24728,Lamorlaye,Lamorlaye
681,36592.0,31674,Paris 15e arrondissement,Paris 15e Arrondissement
686,37569.0,31675,Paris 16,Paris 16e Arrondissement
687,37569.0,31675,Paris 16,Paris 16e Arrondissement
693,33423.0,37508,Goussainville,Goussainville
697,33270.0,37355,Epinay-sur-Seine,Épinay-sur-Seine
700,33477.0,37562,Persan,Persan
705,21711.0,24552,Coye-la-Forêt,Coye-la-Forêt
709,33401.0,37487,Ecouen,Écouen
714,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
715,33519.0,37604,Viarmes,Viarmes
716,33519.0,37604,Viarmes,Viarmes
719,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
722,33519.0,37604,Viarmes,Viarmes
727,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
731,33380.0,37466,Cergy,Cergy
733,33455.0,37540,Mesnil-Aubry,Mesnil-Aubry
734,33455.0,37540,Mesnil-Aubry,Mesnil-Aubry
742,33456.0,37541,Moisselles,Moisselles
